classification_reason,diagnostics_profile_attached,existing_8_neighbor_count,grid_tier,hit_run_count,max_achieved_lateral_g,max_capture_component_g,max_guidance_saturation_fraction,max_mirror_abs_difference_m,max_mirror_abs_difference_rho,max_postclamp_command_g,max_preclamp_command_g,max_seed_spread_m,max_seed_spread_rho,minimum_abs_rho_minus_one,mirror_entry_classification_consistent,nearest_distance_max_m,nearest_distance_mean_m,nearest_distance_min_m,neighbor_mixed_count,neighbor_robust_hit_count,neighbor_robust_miss_count,offset_deg,range_km,reclassified_launch_class,refinement_reasons,resolved_runtime_contract_matches,rho_max,rho_mean,rho_median,rho_min,robust_state,run_count,seed_count,signed_bearing_count,within_boundary_rho_band
cell_and_all_existing_8_neighbors_robust_hit,False,8,main,6,20.004395490470706,0.0,0.0,5.480067508962811e-06,3.6533783393084775e-07,20.012432454575162,20.012432454575162,0.0,0.0,0.9999079756392432,True,0.0013803654113532617,0.00137762537759878,0.001374885343844299,0,8,0,25.0,15.0,N,[],True,9.202436075688411e-05,9.184169183991869e-05,9.184169183991869e-05,9.165902292295326e-05,robust_hit,6,3,2,False
cell_and_all_existing_8_neighbors_robust_hit,False,8,main,6,22.306760354091352,0.0,0.0,5.12173955579732e-06,3.4144930371982855e-07,22.31530169176873,22.31530169176873,0.0,0.0,0.9999079381685714,True,0.0013809274714290819,0.0013783666016511833,0.0013758057318732845,0,8,0,30.0,15.0,N,[],True,9.206183142860546e-05,9.189110677674556e-05,9.189110677674555e-05,9.172038212488563e-05,robust_hit,6,3,2,False
cell_and_all_existing_8_neighbors_robust_hit,False,8,main,6,24.383248952445165,0.0,0.0,3.4515577026000485e-06,2.3010384683999781e-07,24.392419781573896,24.392419781573896,0.0,0.0,0.9999084554432243,True,0.0013731683516353477,0.0013714425727840475,0.0013697167939327477,0,8,0,35.0,15.0,N,[],True,9.154455677568985e-05,9.142950485226983e-05,9.142950485226985e-05,9.131445292884985e-05,robust_hit,6,3,2,False
cell_and_all_existing_8_neighbors_robust_hit,False,8,main,6,26.232790096100043,0.0,0.0,5.168598633668951e-06,3.4457324224460213e-07,26.24197375783673,26.24197375783673,0.0,0.0,0.9999070393863049,True,0.0013944092054271485,0.001391824906110314,0.0013892406067934795,0,8,0,40.0,15.0,N,[],True,9.296061369514324e-05,9.278832707402094e-05,9.278832707402094e-05,9.261604045289864e-05,robust_hit,6,3,2,False
cell_and_all_existing_8_neighbors_robust_hit,False,8,main,6,27.84495042250388,0.0,0.0,4.211134954116083e-06,2.8074233027440283e-07,27.85371474719381,27.85371474719381,0.0,0.0,0.9999069445227072,True,0.0013958321593907802,0.001393726591913722,0.001391621024436664,0,8,0,45.0,15.0,N,[],True,9.305547729271868e-05,9.291510612758148e-05,9.291510612758147e-05,9.277473496244427e-05,robust_hit,6,3,2,False
cell_and_all_existing_8_neighbors_robust_hit,False,8,main,6,29.196495453304333,0.0,0.0,2.301427720569158e-06,1.5342851470461958e-07,29.20478641556321,29.20478641556321,0.0,0.0,0.9999078058919412,True,0.001382911620882042,0.0013817609070217575,0.001380610193161473,0,8,0,50.0,15.0,N,[],True,9.219410805880281e-05,9.21173938014505e-05,9.21173938014505e-05,9.204067954409819e-05,robust_hit,6,3,2,False
mixed_or_adjacent_to_a_different_robust_state,False,8,main,6,30.237306185916704,0.0,0.0,1.407721966415398e-06,9.3848131094368e-08,30.243883961412227,30.243883961412227,0.0,0.0,0.9999067949349023,True,0.0013980759764658257,0.001397372115482618,0.0013966682544994103,0,6,2,55.0,15.0,M,[],True,9.320506509772171e-05,9.315814103217452e-05,9.315814103217452e-05,9.311121696662735e-05,robust_hit,6,3,2,False
mixed_or_adjacent_to_a_different_robust_state,False,8,main,0,30.842580066289198,0.0,0.0,3.817225206148578e-06,2.544816801730576e-07,30.869782580182537,30.869782580182537,0.0,0.0,5.8509842569766395,True,102.7647676718748,102.76476576326219,102.76476385464959,0,4,4,60.0,15.0,M,[],True,6.85098451145832,6.85098438421748,6.85098438421748,6.8509842569766395,robust_miss,6,3,2,False
mixed_or_adjacent_to_a_different_robust_state,False,8,main,0,30.385927297295087,0.0,0.0,2.2465994334197603e-05,1.4977329669818573e-06,30.479633990842302,30.479633990842302,0.0,0.0,304.66831695092714,True,4585.0247767299015,4585.024765496904,4585.024754263907,0,1,7,65.0,15.0,M,[],True,305.6683184486601,305.6683176997936,305.66831769979365,305.66831695092714,robust_miss,6,3,2,False
cell_and_all_existing_8_neighbors_robust_miss,False,8,main,0,27.655422330940073,0.0,0.0,3.59310106432531e-05,2.395400770183187e-06,27.82961453208586,27.82961453208586,0.0,0.0,688.822284328397,True,10347.334300856966,10347.334282891461,10347.334264925956,0,0,8,70.0,15.0,O,[],True,689.8222867237978,689.8222855260974,689.8222855260974,689.822284328397,robust_miss,6,3,2,False
